Utente,A,B,Scelta
utente_mc96unnk_6744,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96unnk_6744,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc96unnk_6744,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96unnk_6744,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96unnk_6744,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96unnk_6744,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc96unnk_6744,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96unnk_6744,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc96unnk_6744,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc96unnk_6744,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc96unnk_6744,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc96vq1q_3553,ElevenLabs 3,Grenoble 3,Grenoble Peggio
utente_mc96vq1q_3553,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96vq1q_3553,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96vq1q_3553,ElevenLabs 5,Grenoble 5,Grenoble Peggio
utente_mc96vq1q_3553,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc96vq1q_3553,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96vq1q_3553,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc96vq1q_3553,Grenoble 8,ElevenLabs 8,Grenoble Molto Meglio
utente_mc96vq1q_3553,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc96vq1q_3553,ElevenLabs 2,Reale 2,B meglio
utente_mc96vq1q_3553,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96vq1q_3553,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96vq1q_3553,Reale 1,ElevenLabs 1,Uguale
utente_mc96vq1q_3553,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96vq1q_3553,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc96vq1q_3553,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc96vq1q_3553,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96vq1q_3553,Grenoble 4,ElevenLabs 4,Grenoble Peggio
utente_mc96vq1q_3553,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96vq1q_3553,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96wjk8_3550,ElevenLabs 3,Grenoble 3,Grenoble Peggio
utente_mc96wjk8_3550,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96wjk8_3550,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96wjk8_3550,ElevenLabs 5,Grenoble 5,Grenoble Peggio
utente_mc96wjk8_3550,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc96wjk8_3550,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96wjk8_3550,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc96wjk8_3550,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc96wjk8_3550,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc96wjk8_3550,ElevenLabs 2,Reale 2,B meglio
utente_mc96wjk8_3550,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96wjk8_3550,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96wjk8_3550,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc96wjk8_3550,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96wjk8_3550,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc96wjk8_3550,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc96wjk8_3550,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96wjk8_3550,Grenoble 4,ElevenLabs 4,Grenoble Peggio
utente_mc96wjk8_3550,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96wjk8_3550,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96x8vg_2747,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96x8vg_2747,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96x8vg_2747,ElevenLabs 4,Reale 4,Uguale
utente_mc96x8vg_2747,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96x8vg_2747,Reale 1,ElevenLabs 1,B meglio
utente_mc96x8vg_2747,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96x8vg_2747,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc96x8vg_2747,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96x8vg_2747,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc96x8vg_2747,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc96x8vg_2747,Reale 3,ElevenLabs 3,A meglio
utente_mc96x8vg_2747,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96x8vg_2747,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96x8vg_2747,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mc96x8vg_2747,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc96x8vg_2747,ElevenLabs 9,Grenoble 9,Grenoble Molto Peggio
utente_mc96x8vg_2747,ElevenLabs 5,Grenoble 5,Uguale
utente_mc96x8vg_2747,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96x8vg_2747,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc96x8vg_2747,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc96y1nt_6490,ElevenLabs 5,Grenoble 5,Grenoble Peggio
utente_mc96y1nt_6490,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc96y1nt_6490,Grenoble 2,ElevenLabs 2,Uguale
utente_mc96y1nt_6490,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc96y1nt_6490,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96y1nt_6490,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96y1nt_6490,ElevenLabs 3,Grenoble 3,Uguale
utente_mc96y1nt_6490,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96y1nt_6490,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96y1nt_6490,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96y1nt_6490,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc96y1nt_6490,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96y1nt_6490,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96y1nt_6490,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96y1nt_6490,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc96y1nt_6490,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96y1nt_6490,Grenoble 4,ElevenLabs 4,Grenoble Peggio
utente_mc96y1nt_6490,Grenoble 8,ElevenLabs 8,Uguale
utente_mc96y1nt_6490,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc96y1nt_6490,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc98p6xp_4414,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc98p6xp_4414,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc98p6xp_4414,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc98p6xp_4414,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc98p6xp_4414,ElevenLabs 1,Grenoble 1,Uguale
utente_mc98p6xp_4414,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc98p6xp_4414,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc98p6xp_4414,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc98p6xp_4414,ElevenLabs 4,Reale 4,B meglio
utente_mc98p6xp_4414,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc98p6xp_4414,ElevenLabs 5,Grenoble 5,Uguale
utente_mc98p6xp_4414,ElevenLabs 9,Grenoble 9,Uguale
utente_mc98p6xp_4414,ElevenLabs 7,Grenoble 7,Uguale
utente_mc98p6xp_4414,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mc98p6xp_4414,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc98p6xp_4414,Grenoble 4,ElevenLabs 4,Uguale
utente_mc98p6xp_4414,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc98p6xp_4414,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc98p6xp_4414,Grenoble 10,ElevenLabs 10,Uguale
utente_mc98p6xp_4414,Grenoble 8,ElevenLabs 8,Uguale
utente_mc98y4zi_4270,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc98y4zi_4270,ElevenLabs 2,Reale 2,B meglio
utente_mc98y4zi_4270,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc98y4zi_4270,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc98y4zi_4270,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc98y4zi_4270,Grenoble 10,ElevenLabs 10,Uguale
utente_mc98y4zi_4270,Reale 2,Grenoble Danneggiata 2,A meglio
utente_mc98y4zi_4270,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc98y4zi_4270,Reale 5,ElevenLabs 5,A meglio
utente_mc98y4zi_4270,Grenoble 6,ElevenLabs 6,Uguale
utente_mc98y4zi_4270,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc98y4zi_4270,Grenoble 8,ElevenLabs 8,Uguale
utente_mc98y4zi_4270,Grenoble 4,ElevenLabs 4,Grenoble Peggio
utente_mc98y4zi_4270,ElevenLabs 9,Grenoble 9,Uguale
utente_mc98y4zi_4270,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc98y4zi_4270,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc98y4zi_4270,ElevenLabs 3,Grenoble 3,Uguale
utente_mc98y4zi_4270,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc98y4zi_4270,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc98y4zi_4270,ElevenLabs 7,Grenoble 7,Uguale
utente_mc99ttm5_3270,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc99ttm5_3270,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc99ttm5_3270,ElevenLabs 9,Grenoble 9,Grenoble Meglio
utente_mc99ttm5_3270,Reale 2,Grenoble Danneggiata 2,A meglio
utente_mc99ttm5_3270,ElevenLabs 3,Grenoble 3,Grenoble Peggio
utente_mc99ttm5_3270,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc99ttm5_3270,Grenoble 2,ElevenLabs 2,Grenoble Meglio
utente_mc99ttm5_3270,Reale 3,ElevenLabs 3,A meglio
utente_mc99ttm5_3270,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc99ttm5_3270,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc99ttm5_3270,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc99ttm5_3270,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc99ttm5_3270,ElevenLabs 5,Grenoble 5,Grenoble Molto Peggio
utente_mc99ttm5_3270,Grenoble 6,ElevenLabs 6,Uguale
utente_mc99ttm5_3270,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc99ttm5_3270,Grenoble 10,ElevenLabs 10,Grenoble Molto Meglio
utente_mc99ttm5_3270,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc99ttm5_3270,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc99ttm5_3270,ElevenLabs 7,Grenoble 7,Grenoble Meglio
utente_mc99ttm5_3270,Grenoble 4,ElevenLabs 4,Grenoble Peggio
utente_mc9h0k76_8718,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc9h0k76_8718,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mc9h0k76_8718,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc9h0k76_8718,ElevenLabs 9,Grenoble 9,Grenoble Meglio
utente_mc9h0k76_8718,Reale 1,ElevenLabs 1,B meglio
utente_mc9h0k76_8718,Grenoble Danneggiata 3,Reale 3,B meglio
utente_mc9h0k76_8718,Reale 5,ElevenLabs 5,A meglio
utente_mc9h0k76_8718,Grenoble 2,ElevenLabs 2,Grenoble Meglio
utente_mc9h0k76_8718,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc9h0k76_8718,Grenoble 6,ElevenLabs 6,Grenoble Meglio
utente_mc9h0k76_8718,Grenoble 10,ElevenLabs 10,Grenoble Meglio
utente_mc9h0k76_8718,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc9h0k76_8718,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc9h0k76_8718,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc9h0k76_8718,Reale 3,ElevenLabs 3,Reale Molto Meglio
